exp,date,w,fss,q
EG2,2018-11-21T03:00:00Z,1,0,50
EG2,2018-11-21T03:00:00Z,5,0,50
EG2,2018-11-21T03:00:00Z,11,0,50
EG2,2018-11-21T03:00:00Z,51,0,50
EG2,2018-11-21T03:00:00Z,101,0,50
EG2,2018-11-21T04:00:00Z,1,0.110644405866635,1
EG2,2018-11-21T04:00:00Z,5,0.167734460604086,1
EG2,2018-11-21T04:00:00Z,11,0.197657442408938,1
EG2,2018-11-21T04:00:00Z,51,0.302173680400072,1
EG2,2018-11-21T04:00:00Z,101,0.345643862800673,1
EG2,2018-11-21T04:00:00Z,1,0.0231988094195921,5
EG2,2018-11-21T04:00:00Z,5,0.0348314658768483,5
EG2,2018-11-21T04:00:00Z,11,0.023630778122593,5
EG2,2018-11-21T04:00:00Z,51,0.0160580867944629,5
EG2,2018-11-21T04:00:00Z,101,0.0163242795118953,5
EG2,2018-11-21T04:00:00Z,1,0,10
EG2,2018-11-21T04:00:00Z,5,0,10
EG2,2018-11-21T04:00:00Z,11,0,10
EG2,2018-11-21T04:00:00Z,51,1.4692177654374e-05,10
EG2,2018-11-21T04:00:00Z,101,0.00217850070935277,10
EG2,2018-11-21T04:00:00Z,1,0,25
EG2,2018-11-21T04:00:00Z,5,0,25
EG2,2018-11-21T04:00:00Z,11,0,25
EG2,2018-11-21T04:00:00Z,51,0,25
EG2,2018-11-21T04:00:00Z,101,0.00464339816751225,25
EG2,2018-11-21T04:00:00Z,1,0,50
EG2,2018-11-21T04:00:00Z,5,0,50
EG2,2018-11-21T04:00:00Z,11,0,50
EG2,2018-11-21T04:00:00Z,51,0,50
EG2,2018-11-21T04:00:00Z,101,0,50
EG2,2018-11-21T05:00:00Z,1,0.0928758152706456,1
EG2,2018-11-21T05:00:00Z,5,0.135903885496619,1
EG2,2018-11-21T05:00:00Z,11,0.154347241506813,1
EG2,2018-11-21T05:00:00Z,51,0.301629108785509,1
EG2,2018-11-21T05:00:00Z,101,0.399496154360945,1
EG2,2018-11-21T05:00:00Z,1,0.0633509420258179,5
EG2,2018-11-21T05:00:00Z,5,0.108095409379214,5
EG2,2018-11-21T05:00:00Z,11,0.09847724477807,5
EG2,2018-11-21T05:00:00Z,51,0.0954083017396604,5
EG2,2018-11-21T05:00:00Z,101,0.0788791150511576,5
EG2,2018-11-21T05:00:00Z,1,0.016052080082044,10
EG2,2018-11-21T05:00:00Z,5,0.0172557951778218,10
EG2,2018-11-21T05:00:00Z,11,0.0118937795514552,10
EG2,2018-11-21T05:00:00Z,51,0.00772929065819861,10
EG2,2018-11-21T05:00:00Z,101,0.00857900197360195,10
EG2,2018-11-21T05:00:00Z,1,0,25
EG2,2018-11-21T05:00:00Z,5,0,25
EG2,2018-11-21T05:00:00Z,11,0,25
EG2,2018-11-21T05:00:00Z,51,0,25
EG2,2018-11-21T05:00:00Z,101,0,25
EG2,2018-11-21T05:00:00Z,1,0,50
EG2,2018-11-21T05:00:00Z,5,0,50
EG2,2018-11-21T05:00:00Z,11,0,50
EG2,2018-11-21T05:00:00Z,51,0,50
EG2,2018-11-21T05:00:00Z,101,0,50
EG2,2018-11-21T06:00:00Z,1,0.0856359106573957,1
EG2,2018-11-21T06:00:00Z,5,0.122894044164872,1
EG2,2018-11-21T06:00:00Z,11,0.148995808995276,1
EG2,2018-11-21T06:00:00Z,51,0.370127438433792,1
EG2,2018-11-21T06:00:00Z,101,0.505964341663664,1
EG2,2018-11-21T06:00:00Z,1,0.111369978750096,5
EG2,2018-11-21T06:00:00Z,5,0.202682537573906,5
EG2,2018-11-21T06:00:00Z,11,0.221326390288459,5
EG2,2018-11-21T06:00:00Z,51,0.324215303559971,5
EG2,2018-11-21T06:00:00Z,101,0.272143608277339,5
EG2,2018-11-21T06:00:00Z,1,0.0612546455917253,10
EG2,2018-11-21T06:00:00Z,5,0.069984800750582,10
EG2,2018-11-21T06:00:00Z,11,0.0641889805461957,10
EG2,2018-11-21T06:00:00Z,51,0.090780205389746,10
EG2,2018-11-21T06:00:00Z,101,0.0761757373070613,10
EG2,2018-11-21T06:00:00Z,1,0,25
EG2,2018-11-21T06:00:00Z,5,0,25
EG2,2018-11-21T06:00:00Z,11,0,25
EG2,2018-11-21T06:00:00Z,51,0,25
EG2,2018-11-21T06:00:00Z,101,0,25
EG2,2018-11-21T06:00:00Z,1,0,50
EG2,2018-11-21T06:00:00Z,5,0,50
EG2,2018-11-21T06:00:00Z,11,0,50
EG2,2018-11-21T06:00:00Z,51,0,50
EG2,2018-11-21T06:00:00Z,101,0,50
EG2,2018-11-21T07:00:00Z,1,0.0886372944576926,1
EG2,2018-11-21T07:00:00Z,5,0.120483712678516,1
EG2,2018-11-21T07:00:00Z,11,0.145133109480096,1
EG2,2018-11-21T07:00:00Z,51,0.400118526470565,1
EG2,2018-11-21T07:00:00Z,101,0.505681724526065,1
EG2,2018-11-21T07:00:00Z,1,0.141943035889062,5
EG2,2018-11-21T07:00:00Z,5,0.248138391916358,5
EG2,2018-11-21T07:00:00Z,11,0.294323578999919,5
EG2,2018-11-21T07:00:00Z,51,0.581469453022299,5
EG2,2018-11-21T07:00:00Z,101,0.534377337607553,5
EG2,2018-11-21T07:00:00Z,1,0.131830116792757,10
EG2,2018-11-21T07:00:00Z,5,0.17079132850171,10
EG2,2018-11-21T07:00:00Z,11,0.184782524324147,10
EG2,2018-11-21T07:00:00Z,51,0.349936327137665,10
EG2,2018-11-21T07:00:00Z,101,0.330906816180188,10
EG2,2018-11-21T07:00:00Z,1,0,25
EG2,2018-11-21T07:00:00Z,5,0,25
EG2,2018-11-21T07:00:00Z,11,0,25
EG2,2018-11-21T07:00:00Z,51,0,25
EG2,2018-11-21T07:00:00Z,101,0,25
EG2,2018-11-21T07:00:00Z,1,0,50
EG2,2018-11-21T07:00:00Z,5,0,50
EG2,2018-11-21T07:00:00Z,11,0,50
EG2,2018-11-21T07:00:00Z,51,0,50
EG2,2018-11-21T07:00:00Z,101,0,50
EG2,2018-11-21T08:00:00Z,1,0.099103683118713,1
EG2,2018-11-21T08:00:00Z,5,0.127175628435447,1
EG2,2018-11-21T08:00:00Z,11,0.154739453041645,1
EG2,2018-11-21T08:00:00Z,51,0.418914993063601,1
EG2,2018-11-21T08:00:00Z,101,0.493659082799209,1
EG2,2018-11-21T08:00:00Z,1,0.167148201088775,5
EG2,2018-11-21T08:00:00Z,5,0.299479339480764,5
EG2,2018-11-21T08:00:00Z,11,0.364944526246286,5
