exp,date,w,fss,q
E10,2018-11-22T09:00:00Z,51,0.836012186682586,25
E10,2018-11-22T09:00:00Z,101,0.868690585346212,25
E10,2018-11-22T09:00:00Z,1,0.124820659971306,50
E10,2018-11-22T09:00:00Z,5,0.210254371262953,50
E10,2018-11-22T09:00:00Z,11,0.307647749356029,50
E10,2018-11-22T09:00:00Z,51,0.63888659097801,50
E10,2018-11-22T09:00:00Z,101,0.719851004178423,50
E10,2018-11-22T10:00:00Z,1,0.527198954679871,1
E10,2018-11-22T10:00:00Z,5,0.604991929817825,1
E10,2018-11-22T10:00:00Z,11,0.661075926054766,1
E10,2018-11-22T10:00:00Z,51,0.844755080158902,1
E10,2018-11-22T10:00:00Z,101,0.893026280399658,1
E10,2018-11-22T10:00:00Z,1,0.538987688098495,5
E10,2018-11-22T10:00:00Z,5,0.623892133877368,5
E10,2018-11-22T10:00:00Z,11,0.692693761954245,5
E10,2018-11-22T10:00:00Z,51,0.857340308953645,5
E10,2018-11-22T10:00:00Z,101,0.898492744314636,5
E10,2018-11-22T10:00:00Z,1,0.496192384769539,10
E10,2018-11-22T10:00:00Z,5,0.588618987709281,10
E10,2018-11-22T10:00:00Z,11,0.674457249830591,10
E10,2018-11-22T10:00:00Z,51,0.849392191321089,10
E10,2018-11-22T10:00:00Z,101,0.893764298529663,10
E10,2018-11-22T10:00:00Z,1,0.331960261691301,25
E10,2018-11-22T10:00:00Z,5,0.432836608885139,25
E10,2018-11-22T10:00:00Z,11,0.536890755099971,25
E10,2018-11-22T10:00:00Z,51,0.800666603858661,25
E10,2018-11-22T10:00:00Z,101,0.836465960970348,25
E10,2018-11-22T10:00:00Z,1,0.206741573033708,50
E10,2018-11-22T10:00:00Z,5,0.321067058921777,50
E10,2018-11-22T10:00:00Z,11,0.41534886386251,50
E10,2018-11-22T10:00:00Z,51,0.69164580154921,50
E10,2018-11-22T10:00:00Z,101,0.739684864739918,50
E10,2018-11-22T11:00:00Z,1,0.559371174537723,1
E10,2018-11-22T11:00:00Z,5,0.63706756177706,1
E10,2018-11-22T11:00:00Z,11,0.696077244330161,1
E10,2018-11-22T11:00:00Z,51,0.865460764811576,1
E10,2018-11-22T11:00:00Z,101,0.895214448053862,1
E10,2018-11-22T11:00:00Z,1,0.559883438562409,5
E10,2018-11-22T11:00:00Z,5,0.637909828066502,5
E10,2018-11-22T11:00:00Z,11,0.705395128596327,5
E10,2018-11-22T11:00:00Z,51,0.855912427917678,5
E10,2018-11-22T11:00:00Z,101,0.885843768668721,5
E10,2018-11-22T11:00:00Z,1,0.528803895949638,10
E10,2018-11-22T11:00:00Z,5,0.610301223942718,10
E10,2018-11-22T11:00:00Z,11,0.689826631531297,10
E10,2018-11-22T11:00:00Z,51,0.851959673524445,10
E10,2018-11-22T11:00:00Z,101,0.878319773891757,10
E10,2018-11-22T11:00:00Z,1,0.342360150227318,25
E10,2018-11-22T11:00:00Z,5,0.437576371588872,25
E10,2018-11-22T11:00:00Z,11,0.54078392832862,25
E10,2018-11-22T11:00:00Z,51,0.791689103821299,25
E10,2018-11-22T11:00:00Z,101,0.825255518289898,25
E10,2018-11-22T11:00:00Z,1,0.234290843806104,50
E10,2018-11-22T11:00:00Z,5,0.352609561359359,50
E10,2018-11-22T11:00:00Z,11,0.44097095102078,50
E10,2018-11-22T11:00:00Z,51,0.700438720215387,50
E10,2018-11-22T11:00:00Z,101,0.732156614255932,50
E10,2018-11-22T12:00:00Z,1,0.609203710396338,1
E10,2018-11-22T12:00:00Z,5,0.687101259854738,1
E10,2018-11-22T12:00:00Z,11,0.746239305747599,1
E10,2018-11-22T12:00:00Z,51,0.895578175520176,1
E10,2018-11-22T12:00:00Z,101,0.914688423323577,1
E10,2018-11-22T12:00:00Z,1,0.610044179965738,5
E10,2018-11-22T12:00:00Z,5,0.689331304003868,5
E10,2018-11-22T12:00:00Z,11,0.754896928323236,5
E10,2018-11-22T12:00:00Z,51,0.884190137650931,5
E10,2018-11-22T12:00:00Z,101,0.900911724868014,5
E10,2018-11-22T12:00:00Z,1,0.533333333333333,10
E10,2018-11-22T12:00:00Z,5,0.608458054897565,10
E10,2018-11-22T12:00:00Z,11,0.679615532260933,10
